Ano,Vendedor,Cargo,Região,Venda
2015,Adailton Sayuri,Surpevisor,Japão,"R$ 46.715,00"
2015,Adelino Pataro,Gerente,Turquia,"R$ 29.452,00"
2015,Adrian Limoeiro,Vendedor,México,"R$ 25.836,00"
2015,Adriana Karla,Vendedor,Índia,"R$ 7.192,00"
2015,Adriane Segadilha,Gerente,Países Baixos,"R$ 37.298,00"
2015,Adriano Taylor,Gerente,Rússia,"R$ 4.051,00"
2015,Adrielle Fiaes,Temporário,Estados Unidos,"R$ 19.661,00"
2015,Adrizia Boy,Vendedor,Itália,"R$ 43.584,00"
2015,Agnes Lana,Temporário,Reino Unido,"R$ 28.478,00"
2015,Ailton França,Gerente,Coreia do Sul,"R$ 26.590,00"
2015,Alan Colacino,Surpevisor,China,"R$ 26.112,00"
2015,Alana Hugo,Gerente,Itália,"R$ 5.584,00"
2015,Alberto Moniz,Temporário,Coreia do Sul,"R$ 38.479,00"
2015,Alecsander Kohn,Surpevisor,Estados Unidos,"R$ 30.137,00"
2015,Alecssander Pedroso,Vendedor,Alemanha,"R$ 20.559,00"
2015,Aledio Marculino,Gerente,México,"R$ 4.923,00"
2015,Alessandra Barboza,Vendedor,Arábia Saudita,"R$ 22.466,00"
2015,Alessandro Akerman,Temporário,México,"R$ 10.803,00"
2015,Alex Faller,Surpevisor,Japão,"R$ 47.814,00"
2015,Alexandra Greco,Temporário,Rússia,"R$ 13.808,00"
2015,Alexandre Sobral,Surpevisor,França,"R$ 30.182,00"
2015,Alexia Monteiro,Surpevisor,Austrália,"R$ 36.375,00"
2015,Alexsandro Antonio,Gerente,Índia,"R$ 10.076,00"
2015,Alfredo Lazera,Gerente,Índia,"R$ 17.208,00"
2015,Alice Lara,Surpevisor,Indonésia,"R$ 8.245,00"
2015,Aline Feliciano,Surpevisor,Espanha,"R$ 32.338,00"
2015,Allan Evelyn,Temporário,Estados Unidos,"R$ 49.922,00"
2015,Alon Zamith,Vendedor,Turquia,"R$ 25.831,00"
2015,Álvaro Barrocas,Surpevisor,Brasil,"R$ 11.469,00"
2015,Alvaro Sousa,Gerente,Japão,"R$ 21.726,00"
2015,Amanda Zahar,Vendedor,Brasil,"R$ 40.774,00"
